STATION-LINE-NORM,STATION-NORM,STATION,LINENAME,ENTRIES,EXITS,TOT,TOT_previous,ENTRIES_previous,EXITS_previous,Delta_time,Delta_people,Delta_ENTRIES,Delta_EXITS
Grand Central-4567GS,Grand Central,GRD CNTRL-42 ST,4567S,3.92E+11,1.91E+11,5.83E+11,5.83E+11,3.92E+11,1.91E+11,105225881,3753808,2107252,1646556
34th St-BDFMNQR,34th St,34 ST-HERALD SQ,BDFMNQRW,2.44E+11,1.93E+11,4.37E+11,4.37E+11,2.44E+11,1.93E+11,104138902,3580051,1942716,1637335
Fulton St-2345ACJZ,Fulton St,FULTON ST,2345ACJZ,5.55E+11,3.89E+11,9.44E+11,9.44E+11,5.55E+11,3.89E+11,157759817,3559981,2009859,1550122
14th St-Union Square-456LNQR,14th St-Union Square,14 ST-UNION SQ,456LNQRW,1.53E+11,43529473730,1.96E+11,1.96E+11,1.53E+11,4.35E+10,73713600,3438184,1892558,1545626
34th St-ACE,34th St,34 ST-PENN STA,ACE,39456639700,38186098726,77642738426,7.76E+10,3.95E+10,3.82E+10,119911700,3136693,1742297,1394396
,Times Square,TIMES SQ-42 ST,1237ACENQRSW,5.76E+11,2.67E+11,8.43E+11,8.43E+11,5.76E+11,2.67E+11,87238898,3002304,1535613,1466691
42nd St-1237ACENQRS,42nd St,42 ST-PORT AUTH,1237ACENQRSW,4.60E+11,3.61E+11,8.21E+11,8.21E+11,4.60E+11,3.61E+11,75642379,2591737,1576041,1015696
,59th St-Columbus Circle,59 ST COLUMBUS,1ABCD,4.81E+11,4.53E+11,9.34E+11,9.34E+11,4.81E+11,4.53E+11,79891882,2569284,1397805,1171479
,Flushing-Main St,FLUSHING-MAIN,7,31869952655,30270005512,62139958167,6.21E+10,3.19E+10,3.03E+10,58104000,2459050,1400646,1058404
,59th St,59 ST,456NQRW,34568961234,29485002322,64053963556,6.41E+10,3.46E+10,2.95E+10,90834909,2183373,1195863,987510
