,Station Name,Line Name,Station Longitude,Station Latitude,Station-Line
0,25th St,R,-73.998091,40.660396999999996,25th St-R
1,36th St,NR,-74.00354899999999,40.655144,36th St-NR
2,45th St,R,-74.010006,40.648939,45th St-R
3,53rd St,R,-74.014034,40.645069,53rd St-R
4,59th St,NR,-74.017881,40.641362,59th St-NR
5,77th St,R,-74.02551,40.629742,77th St-R
6,86th St,R,-74.028398,40.622687,86th St-R
7,95th St,R,-74.030876,40.616622,95th St-R
8,9th St,FGR,-73.988302,40.670846999999995,9th St-FGR
9,Atlantic Av-Barclays Ctr,2345BDNQR,-73.97881,40.683665999999995,Atlantic Av-Barclays Ctr-2345BDNQR
10,Bay Ridge Av,R,-74.023377,40.634966999999996,Bay Ridge Av-R
11,DeKalb Av,BQR,-73.981824,40.690635,DeKalb Av-BQR
12,Pacific St,2345BDNQR,-73.97881,40.683665999999995,Pacific St-2345BDNQR
13,Prospect Av,R,-73.99287199999999,40.665414,Prospect Av-R
14,Union St,R,-73.98311,40.677316,Union St-R
15,Grand Central,4567GS,-73.979189,40.752769,Grand Central-4567GS
16,Times Square,1237ACEGNQRS,-73.98622900000001,40.755983,Times Square-1237ACEGNQRS
17,14th St,123FLM,-73.996209,40.738228,14th St-123FLM
18,23rd St,FM,-73.99282099999999,40.742878000000005,23rd St-FM
19,2nd Av,F,-73.989938,40.723402,2nd Av-F
20,34th St,BDFMNQR,-73.98782299999999,40.749719,34th St-BDFMNQR
21,42nd St,7BDFM,-73.984569,40.754222,42nd St-7BDFM
22,47-50th Sts Rockefeller Center,BDFM,-73.981329,40.758663,47-50th Sts Rockefeller Center-BDFM
23,47-50th Sts Rockefeller Center,7BDFM,-73.981329,40.758663,47-50th Sts Rockefeller Center-7BDFM
24,4th Av,F,-73.989779,40.670272,4th Av-F
25,57th St,F,-73.97745,40.763971999999995,57th St-F
26,7th Av,F,-73.980305,40.666271,7th Av-F
27,Bergen St,FG,-73.99086199999999,40.686145,Bergen St-FG
28,Broadway-Lafayette St,6BDFM,-73.996204,40.725297,Broadway-Lafayette St-6BDFM
29,Carroll St,FG,-73.995048,40.680303,Carroll St-FG
30,Church Av,F,-73.979678,40.644040999999994,Church Av-F
31,Delancey St,FJMZ,-73.988114,40.718610999999996,Delancey St-FJMZ
32,East Broadway,F,-73.990173,40.713715,East Broadway-F
33,Fort Hamilton Parkway,F,-73.975776,40.650782,Fort Hamilton Parkway-F
34,Grand St,BD,-73.993753,40.718267,Grand St-BD
35,Prospect Park-15 St,F,-73.979493,40.660365000000006,Prospect Park-15 St-F
36,Smith-9th St,FGR,-73.995959,40.67358,Smith-9th St-FGR
37,York St,F,-73.986885,40.699743,York St-F
38,21st St,F,-73.942836,40.754203000000004,21st St-F
39,Lexington Av,F,-73.96611,40.764627000000004,Lexington Av-F
40,Roosevelt Island,F,-73.95326,40.759145000000004,Roosevelt Island-F
41,103rd St,BC,-73.961454,40.796092,103rd St-BC
42,116th St,BC,-73.954882,40.805085,116th St-BC
43,125th St,ABCD,-73.952343,40.811109,125th St-ABCD
44,135th St,BC,-73.947649,40.817894,135th St-BC
45,145th St,ABCD,-73.944216,40.824783000000004,145th St-ABCD
46,14th St,ACEL,-74.00169,40.740893,14th St-ACEL
47,155th St,C,-73.941514,40.830518,155th St-C
48,163rd St - Amsterdam Av,C,-73.939892,40.836013,163rd St - Amsterdam Av-C
49,168th St - Washington Heights,AC,-73.939561,40.840719,168th St - Washington Heights-AC
50,175th St,A,-73.939704,40.847390999999995,175th St-A
51,181st St,A,-73.937969,40.851695,181st St-A
52,190th St,A,-73.93418,40.859021999999996,190th St-A
53,23rd St,CE,-73.998041,40.745906,23rd St-CE
54,34th St,ACE,-73.993391,40.752287,34th St-ACE
55,42nd St,1237ACENQRS,-73.989735,40.757308,42nd St-1237ACENQRS
56,50th St,CE,-73.985984,40.762456,50th St-CE
57,59th St,1ABCD,-73.981736,40.768296,59th St-1ABCD
58,72nd St,BC,-73.97641,40.775594,72nd St-BC
59,81st St - Museum of Natural History,BC,-73.972143,40.781433,81st St - Museum of Natural History-BC
60,86th St,BC,-73.96891600000001,40.785868,86th St-BC
61,96th St,BC,-73.964699,40.791646,96th St-BC
62,Broadway-Nassau,2345ACJZ,-74.00769100000001,40.710196999999994,Broadway-Nassau-2345ACJZ
63,Canal St,ACE,-74.005229,40.720824,Canal St-ACE
64,Cathedral Parkway-110th St,BC,-73.958158,40.800605,Cathedral Parkway-110th St-BC
65,Chambers St,23ACE,-74.008585,40.714110999999995,Chambers St-23ACE
66,Dyckman St-200th St,A,-73.92727099999999,40.865491,Dyckman St-200th St-A
67,High St,2345ACJZ,-73.990531,40.699337,High St-2345ACJZ
68,Inwood - 207th St,A,-73.919899,40.868072,Inwood - 207th St-A
69,Spring St,CE,-74.003739,40.726227,Spring St-CE
70,West 4th St,ABCDEFM,-74.000495,40.732338,West 4th St-ABCDEFM
71,World Trade Center,23ACE,-74.009781,40.712582,World Trade Center-23ACE
72,Jamaica-Van Wyck,E,-73.816859,40.702566,Jamaica-Van Wyck-E
73,Parsons Blvd-Archer Av - Jamaica Center,EJZ,-73.801109,40.702147,Parsons Blvd-Archer Av - Jamaica Center-EJZ
74,Sutphin Blvd-Archer Av - JFK,EJZ,-73.807969,40.700486,Sutphin Blvd-Archer Av - JFK-EJZ
75,30 Av-Grand Av,NQ,-73.921479,40.766779,30 Av-Grand Av-NQ
76,36 Av-Washington Av,NQ,-73.929575,40.756803999999995,36 Av-Washington Av-NQ
77,39 Av-Beebe Av,NQ,-73.932755,40.752882,39 Av-Beebe Av-NQ
78,Astoria Blvd-Hoyt Av,NQ,-73.917843,40.770258,Astoria Blvd-Hoyt Av-NQ
79,Broadway,NQ,-73.925508,40.76182,Broadway-NQ
80,Ditmars Blvd,NQ,-73.91203399999999,40.775036,Ditmars Blvd-NQ
81,7th Av,BQ,-73.972367,40.67705,7th Av-BQ
82,Atlantic Av,2345BDNQR,-73.97689,40.684459999999994,Atlantic Av-2345BDNQR
83,Av H,BQ,-73.961639,40.62927,Av H-BQ
84,Av J,BQ,-73.960803,40.625039,Av J-BQ
85,Av M,BQ,-73.959399,40.617618,Av M-BQ
86,Av U,BQ,-73.955929,40.5993,Av U-BQ
87,Beverly Rd,BQ,-73.964492,40.644031,Beverly Rd-BQ
88,Brighton Beach,BQ,-73.961376,40.577621,Brighton Beach-BQ
89,Church Av,BQ,-73.962982,40.650527000000004,Church Av-BQ
90,Cortelyou Rd,BQ,-73.963891,40.640927000000005,Cortelyou Rd-BQ
91,Kings Highway,BQ,-73.957734,40.608670000000004,Kings Highway-BQ
92,Neck Rd,BQ,-73.955161,40.595246,Neck Rd-BQ
93,Newkirk Av,BQ,-73.962793,40.635082000000004,Newkirk Av-BQ
94,Ocean Parkway,Q,-73.968501,40.576312,Ocean Parkway-Q
95,Parkside Av,BQ,-73.961495,40.655291999999996,Parkside Av-BQ
96,Prospect Park,BFQS,-73.962246,40.661614,Prospect Park-BFQS
97,Sheepshead Bay,BQ,-73.954155,40.586896,Sheepshead Bay-BQ
98,Stillwell Av,DFNQ,-73.98123299999999,40.577422,Stillwell Av-DFNQ
99,West 8th St,FQ,-73.975939,40.576127,West 8th St-FQ
100,23rd St,NR,-73.98934399999999,40.741303,23rd St-NR
101,28th St,NR,-73.988691,40.745494,28th St-NR
102,34th St,BDFMNQR,-73.98795,40.749567,34th St-BDFMNQR
103,49th St,NQR,-73.984139,40.759901,49th St-NQR
104,57th St,NQR,-73.98065799999999,40.764664,57th St-NQR
105,5th Av,NQR,-73.973347,40.764811,5th Av-NQR
106,8th St,NR,-73.99262900000001,40.730328,8th St-NR
107,Canal St (UL),6JNQRZ,-74.001775,40.719527,Canal St (UL)-6JNQRZ
108,City Hall,R,-74.006978,40.713282,City Hall-R
109,Cortlandt St,R,-74.01102900000001,40.710668,Cortlandt St-R
110,Court St,2345R,-73.991777,40.6941,Court St-2345R
111,Lawrence St,ACFR,-73.98594200000001,40.69218,Lawrence St-ACFR
112,Lexington Av,456NQR,-73.967258,40.76266,Lexington Av-456NQR
113,Prince St,NR,-73.997702,40.724329,Prince St-NR
114,Rector St,R,-74.01334200000001,40.70722,Rector St-R
115,Times Square-42nd St,1237ACENQRS,-73.986754,40.754672,Times Square-42nd St-1237ACENQRS
116,Union Square,456LNQR,-73.99056800000001,40.735735999999996,Union Square-456LNQR
117,Whitehall St,1R,-74.01299399999999,40.703087,Whitehall St-1R
118,104th St-102nd St,JZ,-73.84433,40.695178000000006,104th St-102nd St-JZ
119,111th St,J,-73.836345,40.697418,111th St-J
120,121st St,JZ,-73.828294,40.700492,121st St-JZ
121,Alabama Av,J,-73.89865400000001,40.676992,Alabama Av-J
122,Chauncey St,JZ,-73.91045600000001,40.682893,Chauncey St-JZ
123,Cleveland St,J,-73.884639,40.679947,Cleveland St-J
124,Crescent St,JZ,-73.873785,40.683194,Crescent St-JZ
125,Cypress Hills,J,-73.87255,40.689941,Cypress Hills-J
126,Elderts Lane-75th St,JZ,-73.867139,40.691324,Elderts Lane-75th St-JZ
127,Flushing Av,JM,-73.941126,40.70026,Flushing Av-JM
128,Forest Parkway-85th St,J,-73.86001,40.692434999999996,Forest Parkway-85th St-J
129,Gates Av,JZ,-73.92227,40.68963,Gates Av-JZ
130,Halsey St,J,-73.91655899999999,40.686370000000004,Halsey St-J
131,Hewes St,JM,-73.95343100000001,40.70687,Hewes St-JM
132,Kosciusko St,J,-73.928814,40.693342,Kosciusko St-J
133,Lorimer St,JM,-73.947408,40.703869,Lorimer St-JM
134,Marcy Av,JMZ,-73.957757,40.708359,Marcy Av-JMZ
135,Myrtle Av,JMZ,-73.93565699999999,40.697207,Myrtle Av-JMZ
136,Norwood Av,JZ,-73.880039,40.68141,Norwood Av-JZ
137,Van Siclen Av,JZ,-73.891688,40.678024,Van Siclen Av-JZ
138,Woodhaven Blvd,JZ,-73.851576,40.693878999999995,Woodhaven Blvd-JZ
139,103rd St,1,-73.968379,40.799446,103rd St-1
140,116th St-Columbia University,1,-73.96410999999999,40.807722,116th St-Columbia University-1
141,125th St,1,-73.958372,40.815581,125th St-1
142,137th St-City College,1,-73.953676,40.822008000000004,137th St-City College-1
143,145th St,1,-73.95036,40.826551,145th St-1
144,14th St,123FLM,-74.000201,40.737826,14th St-123FLM
145,157th St,1,-73.94489,40.834041,157th St-1
146,168th St,1AC,-73.94013299999999,40.840556,168th St-1AC
147,181st St,1,-73.933596,40.849505,181st St-1
148,18th St,1,-73.99787099999999,40.741040000000005,18th St-1
149,191st St,1,-73.929412,40.855225,191st St-1
150,207th St,1,-73.918819,40.864614,207th St-1
